Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:55:59.475000,25.1,50.0,1006.9,False,44.5,139,1.5
0 days 00:57:59.472000,25.0,50.0,1006.8,False,45.5,138,2.5
0 days 00:58:59.484000,25.1,50.0,1006.9,False,45.3,121,3.4
0 days 00:59:59.500000,25.1,50.0,1006.9,False,45.2,138,3.4
0 days 01:01:59.517000,25.3,51.0,1006.8,False,43.6,141,4.2
0 days 01:02:59.523000,25.4,50.0,1006.8,False,42.7,129,3.3
0 days 01:03:59.524000,25.3,51.0,1006.8,False,41.7,135,3.4
0 days 01:05:59.523000,25.0,51.0,1006.8,False,40.5,137,1.9
0 days 01:06:59.515000,25.1,51.0,1006.8,False,40.4,145,2.4
0 days 01:07:59.522000,24.9,51.0,1006.8,False,40.1,117,2.5
0 days 01:09:59.513000,24.8,50.0,1006.8,False,39.6,123,3.4
0 days 01:10:59.529000,24.7,50.0,1006.8,False,39.4,133,1.3
0 days 01:11:59.542000,24.8,49.0,1006.8,False,39.4,144,3.4
0 days 01:13:59.557000,25.0,50.0,1006.6,False,40.1,143,1.3
0 days 01:14:59.598000,25.1,49.0,1006.7,False,41.0,164,2.4
0 days 01:15:59.595000,25.2,49.0,1006.6,False,41.3,119,2.6
0 days 01:17:59.577000,25.1,49.0,1006.6,False,42.0,101,2.8
0 days 01:18:59.576000,25.1,47.0,1006.7,False,42.0,134,2.6
0 days 01:19:59.613000,25.3,48.0,1006.5,False,41.9,133,4.1
0 days 01:21:59.631000,25.4,48.0,1006.7,False,42.3,118,4.2
0 days 01:22:59.663000,25.5,47.0,1006.7,False,42.2,136,2.4
0 days 01:24:59.663000,25.5,48.0,1006.5,False,41.8,151,2.5
0 days 01:25:59.692000,25.5,48.0,1006.4,False,42.2,111,3.0
0 days 01:26:59.713000,25.5,47.0,1006.5,False,42.4,124,2.6
0 days 01:28:59.721000,25.5,46.0,1006.5,False,42.1,123,2.8
0 days 01:29:59.739000,25.4,47.0,1006.5,False,42.2,110,2.0
0 days 01:31:59.779000,25.3,45.0,1006.5,False,43.0,140,3.0
0 days 01:32:59.781000,25.3,46.0,1006.4,False,42.0,138,5.0
0 days 01:33:59.782000,25.4,46.0,1006.4,False,41.9,128,2.5
0 days 01:35:59.810000,25.5,46.0,1006.5,False,42.5,104,2.0
0 days 01:36:59.830000,25.5,46.0,1006.3,False,42.4,137,2.1
0 days 01:37:59.819000,25.6,47.0,1006.5,False,42.4,136,2.1
0 days 01:39:59.833000,25.7,46.0,1006.3,False,42.5,183,2.4
0 days 01:40:59.854000,25.7,45.0,1006.3,False,42.6,141,1.0
0 days 01:42:59.866000,25.6,44.0,1006.2,False,42.6,139,4.2
0 days 01:43:59.853000,25.7,45.0,1006.2,False,42.6,119,3.9
0 days 01:44:59.862000,25.7,45.0,1006.2,False,42.1,135,2.5
0 days 01:46:59.867000,25.7,46.0,1006.2,False,42.4,131,2.9
0 days 01:47:59.876000,25.6,45.0,1006.1,False,42.6,131,4.3
0 days 01:48:59.889000,25.7,44.0,1006.1,False,42.5,148,2.5
0 days 01:50:59.931000,25.8,45.0,1006.1,False,42.0,123,2.2
0 days 01:51:59.919000,25.6,45.0,1006.2,False,42.0,134,3.3
0 days 01:52:59.943000,25.7,44.0,1006.2,False,41.8,143,3.7
0 days 01:54:59.926000,25.7,44.0,1006.1,False,41.6,104,2.4
0 days 01:55:59.920000,25.8,44.0,1006.2,False,42.1,138,2.7
0 days 01:56:59.946000,25.8,44.0,1006.2,False,42.1,115,2.2
0 days 01:58:59.948000,25.8,44.0,1006.2,False,41.5,124,2.6
0 days 01:59:59.968000,25.9,45.0,1006.2,False,40.5,139,1.9
0 days 02:00:59.971000,25.8,45.0,1006.1,False,40.1,110,3.3
0 days 02:02:59.982000,25.6,45.0,1006.1,False,39.5,125,1.6
0 days 02:04:00.016000,25.6,45.0,1006.1,False,39.3,120,3.1
0 days 02:05:00.010000,25.6,44.0,1006.1,False,39.1,137,3.2
0 days 02:07:00.058000,25.5,44.0,1006.2,False,39.1,131,1.9
0 days 02:08:00.060000,25.5,45.0,1006.1,False,39.0,142,2.4
0 days 02:09:00.054000,25.5,45.0,1006.2,False,39.4,122,3.1
0 days 02:11:00.057000,25.4,45.0,1006.2,False,38.6,120,1.6
0 days 02:12:00.078000,25.3,45.0,1006.1,False,38.9,143,1.9
0 days 02:13:00.079000,25.4,45.0,1006.1,False,38.9,123,1.7
0 days 02:15:00.121000,25.5,44.0,1006.1,False,38.9,119,2.0
0 days 02:16:00.126000,25.4,44.0,1006.1,False,38.8,119,2.3
0 days 02:17:00.155000,25.4,44.0,1006.1,False,38.7,150,1.5
0 days 02:19:00.164000,25.6,44.0,1006.0,False,40.2,124,2.2
0 days 02:20:00.141000,25.8,43.0,1006.1,False,40.6,129,1.8
